background,x,s,tail_count,short_common_mu_extrapolated_count,full_range_fit_count
REL606,0.25955322425136307,-0.25955322425136307,162,188.29411254132145,133.63817080257118
REL606,0.26528816805493916,-0.26528816805493916,157,186.13927618350115,131.62236169314747
REL606,0.27114982798976367,-0.27114982798976367,153,184.00909975618166,129.63695921336594
REL606,0.2771410039050538,-0.2771410039050538,151,181.90330105131017,127.6815047071354
REL606,0.28326455751393875,-0.28326455751393875,150,179.821601090421,125.7555464367711
REL606,0.2895234137603712,-0.2895234137603712,144,177.7637240876758,123.85863947863643
REL606,0.2959205622162395,-0.2959205622162395,137,175.72939741332675,121.9903456203591
REL606,0.3024590585093516,-0.3024590585093516,133,173.7183515575992,120.15023325959835
REL606,0.30914202578296873,-0.30914202578296873,128,171.73032009498624,118.33787730433853
REL606,0.3159726561875908,-0.3159726561875908,121,169.765039648952,116.55285907468642
REL606,0.3229542124057005,-0.3229542124057005,118,167.82224985704008,114.79476620615102
REL606,0.33009002921019986,-0.33009002921019986,115,165.9016933363799,113.06319255438062
REL606,0.33738351505728004,-0.33738351505728004,111,164.0031156495881,111.35773810133851
REL606,0.34483815371448534,-0.34483815371448534,105,162.1262652710613,109.67800886289277
REL606,0.3524575059247524,-0.3524575059247524,100,160.27089355365266,108.02361679780009
REL606,0.36024521110721436,-0.36024521110721436,98,158.43675469573165,106.39417971806344
REL606,0.36820498909558774,-0.36820498909558774,94,156.62360570861964,104.78932120064044
REL606,0.3763406419149669,-0.3763406419149669,90,154.83120638439868,103.20867050048498
REL606,0.38465605559788063,-0.38465605559788063,83,153.05931926408795,101.65186246489951
REL606,0.393155202040472,-0.393155202040472,79,151.30770960618582,100.1185374491797
REL606,0.40184214089969494,-0.40184214089969494,77,149.57614535557016,98.60834123353116
REL606,0.41072102153242657,-0.41072102153242657,71,147.8643971127562,97.12092494124023
REL606,0.41979608497742815,-0.41979608497742815,66,146.172238103505,95.6559449580778
REL606,0.42907166598109675,-0.42907166598109675,62,144.49944414878004,94.21306285292019
REL606,0.4385521950679761,-0.4385521950679761,54,142.8457936350483,92.79194529956649
REL606,0.4482422006570192,-0.4482422006570192,47,141.21106748491988,91.39226399973523
REL606,0.45814631122460653,-0.45814631122460653,38,139.59504912812514,90.01369560722348
REL606,0.4682692575153617,-0.4682692575153617,27,137.997524472823,88.65592165320852
REL606,0.47861587480181145,-0.47861587480181145,23,136.4182818772373,87.31862847267769
REL606,0.4891911051939782,-0.4891911051939782,17,134.8571121216191,86.00150713196706
REL606,0.5,-0.5,11,133.31380838052874,84.70425335739316
REL607,0.01,-0.01,1141,1124.4362935244988,1367.2742727563393
REL607,0.010220954442778263,-0.010220954442778263,1134,1111.5682533365318,1347.123232842929
REL607,0.010446790972134875,-0.010446790972134875,1125,1098.8474749002812,1327.2691811912591
REL607,0.01067761745994178,-0.01067761745994178,1113,1086.272272953408,1307.7077407553852
REL607,0.010913544161547873,-0.010913544161547873,1099,1073.8409815197024,1288.4345989987457
REL607,0.011154683768442948,-0.011154683768442948,1093,1061.5519536883712,1269.4455069434234
REL607,0.011401151462085358,-0.011401151462085358,1083,1049.4035613958547,1250.7362782334085
REL607,0.011653064968918922,-0.011653064968918922,1069,1037.3941952101452,1232.3027882116703
REL607,0.011910544616605566,-0.011910544616605566,1061,1025.5222641175562,1214.1409730108317
REL607,0.012173713391500337,-0.012173713391500337,1046,1013.7861953119541,1196.2468286572432
REL607,0.012442696997396458,-0.012442696997396458,1033,1002.1844339863827,1178.6164101882637
REL607,0.012717623915568315,-0.012717623915568315,1019,990.7154431270878,1161.2458307825475
REL607,0.012998625466141105,-0.012998625466141105,1004,979.3777033098849,1144.1312609031575
REL607,0.013285835870816564,-0.013285835870816564,990,968.1697124988733,1127.2689274532897
REL607,0.013579392316984537,-0.013579392316984537,976,957.0899858474348,1110.6551129444676
REL607,0.013879435023251218,-0.013879435023251218,966,946.1370555015253,1094.286154676964
REL607,0.014186107306415174,-0.014186107306415174,956,935.3094704052122,1078.1584439323337
REL607,0.014499555649923342,-0.014499555649923342,949,924.605796108436,1062.26842517782
REL607,0.014819929773839462,-0.014819929773839462,932,914.0246145769707,1046.612595282505
