background,x,s,tail_count,common_mu_fit_count,individual_mu_fit_count
Ara-3,0.010540544294843095,-0.010540544294843095,878,977.5547943159706,879.9401972384865
Ara-3,0.010727142508381356,-0.010727142508381356,872,968.5620893252858,874.3619268304197
Ara-3,0.010917044051645456,-0.010917044051645456,866,959.6521098692918,868.8190191672794
Ara-3,0.011110307403154938,-0.011110307403154938,863,950.8240949406966,863.3112500713837
Ara-3,0.011306992076668802,-0.011306992076668802,858,942.0772905328479,857.8383967861971
Ara-3,0.011507158639512226,-0.011507158639512226,856,933.4109495753431,852.4002379673211
Ara-3,0.01171086873122778,-0.01171086873122778,852,924.824331870216,846.9965536735416
Ara-3,0.011918185082556742,-0.011918185082556742,845,916.3167040287151,841.6271253579363
Ara-3,0.01212917153475651,-0.01212917153475651,841,907.8873394086654,836.2917358590314
Ara-3,0.012343893059259944,-0.012343893059259944,831,899.5355180524081,830.9901693920219
Ara-3,0.012562415777682757,-0.012562415777682757,823,891.2605266253065,825.7222115400434
Ara-3,0.0127848069821851,-0.0127848069821851,815,883.0616583548152,820.4876492454997
Ara-3,0.013011135156193569,-0.013011135156193569,811,874.938212970123,815.2862708014485
Ara-3,0.013241469995490094,-0.013241469995490094,805,866.8894966423377,810.1178658430348
Ara-3,0.01347588242967414,-0.01347588242967414,801,858.9148219252208,804.9822253389863
Ara-3,0.013714444644004856,-0.013714444644004856,794,851.0135076964825,799.8791415831578
Ara-3,0.013957230101629914,-0.013957230101629914,793,843.1848790996007,794.8084081861314
Ara-3,0.014204313566207808,-0.014204313566207808,788,835.4282674861773,789.7698200668688
Ara-3,0.01445577112493069,-0.01445577112493069,784,827.7430103588373,784.7631734444174
Ara-3,0.014711680211954759,-0.014711680211954759,781,820.1284513146394,779.7882658296683
Ara-3,0.014972119632245416,-0.014972119632245416,777,812.5839399890103,774.844896017166
Ara-3,0.015237169585844574,-0.015237169585844574,773,805.1088320002024,769.9328640769742
Ara-3,0.01550691169256758,-0.01550691169256758,766,797.70248889425,765.0519713465848
Ara-3,0.015781429017137274,-0.015781429017137274,762,790.3642780904462,760.2020204228868
Ara-3,0.016060806094763087,-0.016060806094763087,757,783.093572827304,755.3828151541811
Ara-3,0.016345128957172897,-0.016345128957172897,753,775.8897521090341,750.5941606322474
Ara-3,0.016634485159105764,-0.016634485159105764,744,768.7522006525004,745.8358631844632
Ara-3,0.016928963805273624,-0.016928963805273624,742,761.6803088346669,741.1077303659674
Ara-3,0.017228655577800345,-0.017228655577800345,739,754.6734726405319,736.4095709518799
Ara-3,0.01753365276414644,-0.01753365276414644,736,747.7310936115377,731.7411949295663
Ara-3,0.017844049285528227,-0.017844049285528227,729,740.8525787944576,727.1024134909536
Ara-3,0.01815994072584002,-0.01815994072584002,721,734.0373406907476,722.493039024894
Ara-3,0.018481424361088364,-0.018481424361088364,716,727.2847972063722,717.9128851095768
Ara-3,0.018808599189347356,-0.018808599189347356,712,720.5943716020839,713.3617665049885
Ara-3,0.01914156596124418,-0.01914156596124418,708,713.9654924441644,708.8394991454232
Ara-3,0.019480427210984426,-0.019480427210984426,704,707.3975935556197,704.3459001320347
