background,x,s,tail_count,individual_fit_count,common_fit_count
Ara-1,0.023217133698778706,-0.023217133698778706,643,651.5528871269137,648.7918463366497
Ara-1,0.023628144321236846,-0.023628144321236846,642,645.8817377935217,642.8234917151067
Ara-1,0.02404643102410891,-0.02404643102410891,635,640.2599504311951,636.9100410771603
Ara-1,0.024472122615127125,-0.024472122615127125,629,634.6870953908364,631.0509893510429
Ara-1,0.02490535018229423,-0.02490535018229423,627,629.162746763037,625.2458361112342
Ara-1,0.025346247134250932,-0.025346247134250932,620,623.6864823455251,619.4940855357218
Ara-1,0.025794949241357907,-0.025794949241357907,613,618.2578836108985,613.7952463636481
Ara-1,0.026251594677505093,-0.026251594677505093,610,612.8765356746396,608.1488318533542
Ara-1,0.02671632406266118,-0.02671632406266118,607,607.5420272634047,602.5543597408082
Ara-1,0.027189280506176233,-0.027189280506176233,599,602.2539506835963,597.0113521984114
Ara-1,0.02767060965085098,-0.02767060965085098,595,597.0119017902017,591.5193357941884
Ara-1,0.028160459717786277,-0.028160459717786277,587,591.8154799559061,586.0778414513519
Ara-1,0.028658981552026445,-0.028658981552026445,584,586.6642880404764,580.6864044082383
Ara-1,0.029166328669010762,-0.029166328669010762,578,581.5579323604078,575.3445641786083
Ara-1,0.029682657301847097,-0.029682657301847097,574,576.4960226588369,570.0518645123227
Ara-1,0.030208126449422605,-0.030208126449422605,572,571.4781720757145,564.8078533563688
Ara-1,0.030742897925366015,-0.030742897925366015,566,566.5039971182425,559.6120828162535
