experiment,background,x,s,tail_count,fitted_tail_count,requested_x_max
MNO,S,0.07827746716729557,-0.07827746716729557,28,28.390865818683167,0.2
MNO,S,0.08068233933512857,-0.08068233933512857,27,27.37343358932374,0.2
MNO,S,0.08316109496333533,-0.08316109496333533,27,26.392462676359205,0.2
MNO,S,0.08571600392962078,-0.08571600392962078,27,25.446646430014855,0.2
MNO,S,0.08834940584779542,-0.08834940584779542,27,24.534725026407187,0.2
MNO,S,0.09106371221023628,-0.09106371221023628,25,23.65548378946292,0.2
MNO,S,0.09386140859616947,-0.09386140859616947,21,22.807751572974823,0.2
MNO,S,0.09674505694779667,-0.09674505694779667,21,21.99039920063905,0.2
MNO,S,0.09971729791634937,-0.09971729791634937,21,21.202337961996356,0.2
MNO,S,0.10278085328021949,-0.10278085328021949,20,20.442518162273682,0.2
MNO,S,0.1059385284373814,-0.1059385284373814,17,19.709927724194287,0.2
MNO,S,0.10919321497438628,-0.10919321497438628,17,19.00359083989458,0.2
MNO,S,0.11254789331428304,-0.11254789331428304,17,18.322566671151392,0.2
MNO,S,0.1160056354458889,-0.1160056354458889,16,17.66594809618887,0.2
MNO,S,0.11956960773691055,-0.11956960773691055,16,17.03286050139544,0.2
MNO,S,0.12324307383349037,-0.12324307383349037,16,16.422460616341624,0.2
MNO,S,0.12702939764883447,-0.12702939764883447,14,15.833935390546781,0.2
MNO,S,0.1309320464436578,-0.1309320464436578,13,15.266500910498797,0.2
MNO,S,0.13495459400126866,-0.13495459400126866,13,14.719401355483994,0.2
MNO,S,0.1391007239001988,-0.1391007239001988,13,14.19190799083674,0.2
MNO,S,0.14337423288737733,-0.14337423288737733,13,13.683318197267337,0.2
MNO,S,0.14777903435493567,-0.14777903435493567,13,13.19295453497571,0.2
MNO,S,0.15231916192382952,-0.15231916192382952,13,12.720163841303926,0.2
MNO,S,0.15699877313755697,-0.15699877313755697,12,12.264316360725923,0.2
MNO,S,0.16182215326935795,-0.16182215326935795,12,11.82480490601534,0.2
MNO,S,0.1667937192463786,-0.1667937192463786,11,11.40104404947429,0.2
MNO,S,0.17191802369439674,-0.17191802369439674,11,10.992469343145748,0.2
MNO,S,0.17719975910680974,-0.17719975910680974,10,10.598536566970893,0.2
MNO,S,0.18264376214170497,-0.18264376214170497,10,10.21872100388989,0.2
MNO,S,0.18825501805094585,-0.18825501805094585,9,9.852516740920645,0.2
MNO,S,0.19403866524532978,-0.19403866524532978,9,9.499435995284529,0.2
MNO,S,0.2,-0.2,8,9.159008464681389,0.2
MNO,L,0.01,-0.01,274,409.467611768223,0.15
MNO,L,0.010277315989582517,-0.010277315989582517,263,388.4763717443316,0.15
MNO,L,0.01056232239497285,-0.01056232239497285,247,368.5612416375043,0.15
MNO,L,0.010855232483697998,-0.010855232483697998,244,349.6670549805733,0.15
MNO,L,0.011156265437534502,-0.011156265437534502,233,331.7414733995338,0.15
MNO,L,0.011465646516520012,-0.011465646516520012,227,314.7348416321573,0.15
MNO,L,0.011783607227513227,-0.011783607227513227,219,298.60004997903394,0.15
